TableName,ColumnName,ColumnType,ClusteringKey,IndexName,IndexType,min,max
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
students,id,java.lang.Integer,true,null,null,0,1000
students,gpa,java.lang.Double,false,null,null,0.0,5.0
students,name,java.lang.String,false,null,null,aaa,zzz
